# Timestamp KF, Num CovKFs, Num KFs, Num RecentMPs, Num MPs, processKF, MPCulling, CreateMP, SearchNeigh, BA, KFCulling, [numFixKF_LBA]
33074830000,10,140,1467,11566,19.637761,0.827814,71.922952,74.040157,16.745152,3.324057,31
33282310000,9,141,1383,11542,17.973165,0.790072,68.932974,58.296107,130.103649,3.015282,33
33489780000,10,142,1415,11644,17.348769,0.667123,63.349887,55.952805,94.521710,2.967191,33
33697130000,11,143,1281,11584,17.614463,0.749524,71.225602,63.575642,241.496798,7.969290,33
34008350000,11,144,1349,11813,17.695570,0.807675,51.902531,115.683331,126.102674,3.296273,21
34423340000,9,145,1346,11830,17.026340,1.553836,24.895921,90.250935,116.165209,5.192529,24
34734300000,10,146,1631,12152,22.006401,0.840818,42.538023,72.756946,121.520273,3.086181,24
35045260000,9,147,1571,12225,22.867863,1.208474,39.807139,63.321299,167.457227,3.366937,25
35252510000,7,148,1445,12184,23.372787,1.214844,41.665493,58.195657,86.685974,2.248659,24
35563620000,5,149,1238,12124,18.863981,1.075540,31.268377,51.603809,61.791591,2.754214,26
35770940000,5,150,1171,12142,17.765769,0.764041,49.315654,51.651589,148.713897,2.519666,26
35978300000,7,151,1321,12330,16.928981,0.656182,45.657328,56.443392,85.552423,2.394258,26
36289500000,6,152,1291,12399,19.141658,0.678892,35.195129,57.379383,130.410813,2.512914,22
36496880000,9,153,1207,12327,16.708460,0.729335,63.410610,48.982804,93.318898,2.537096,26
36704360000,11,154,1174,12337,16.119538,0.604567,77.843081,56.788690,19.987844,2.816935,25
36911770000,12,155,1261,12446,16.201705,0.555772,74.975106,59.468120,116.153843,2.518958,25
37119060000,13,156,1330,12568,15.733133,0.599781,78.886037,73.135371,186.618462,2.734306,25
37430160000,12,157,1305,12684,15.957473,0.740378,84.768380,80.003830,181.430081,3.044259,26
37741030000,14,158,1397,12860,16.089319,0.751669,83.598327,81.235627,130.272666,3.562997,26
38155720000,14,159,1238,12857,15.620304,1.185247,56.983876,65.047255,133.953921,3.371690,26
38466570000,15,160,1522,13171,16.262349,0.720472,56.932966,72.649059,142.346064,13.855375,26
38777460000,16,161,1478,13194,30.800735,1.217364,54.672889,68.745327,124.791886,5.965094,26
